#SUBENT      14356002
#AUTHORS     B.H.Daub, V.Henzl, M.A.Kovash, J.L.Matthews, 
#+           Z.W.Miller, K.Shoniyozov, H.Yang
#REFERENCE   Physical Review, Part C, Nuclear Physics Vol.87, p.014005
#YEAR        2013
#TITLE       Measurements of the neutron-proton and neutron-carbon
#+           total cross section from 150 to 800 keV
#REACTION    1-H-1(N,TOT),,SIG
#QUANTITY    Cross section
#SUBP       14356002 
#Ene,keV     Sig,b       dSig,b
 155         10.78       0.12
 165         10.64       0.12
 175         10.36       0.12
 185         10.05       0.12
 195         9.93        0.12
 205         9.58        0.14
 215         9.42        0.14
 225         9.24        0.14
 235         9.05        0.14
 245         8.85        0.14
 255         8.64        0.13
 265         8.61        0.13
 275         8.43        0.13
 285         8.31        0.13
 295         8.01        0.13
 305         8.12        0.13
 315         7.92        0.13
 325         7.72        0.13
 335         7.49        0.17
 345         7.42        0.11
 355         7.49        0.11
 365         7.21        0.11
 375         7.3         0.11
 385         7.29        0.11
 395         6.99        0.15
 405         6.9         0.11
 415         6.94        0.1
 425         6.88        0.1
 435         6.86        0.1
 445         6.77        0.1
 455         6.61        0.1
 465         6.596       0.095
 475         6.416       0.093
 485         6.303       0.092
 495         6.3         0.1
 505         6.21        0.11
 515         6.21        0.11
 525         6.14        0.11
 535         6.11        0.11
 545         6.05        0.11
 555         5.935       0.085
 565         5.916       0.083
 575         5.868       0.083
 585         5.759       0.083
 595         5.724       0.083
 605         5.725       0.085
 615         5.643       0.082
 625         5.606       0.082
 635         5.59        0.082
#END
