#SUBENT      12882002
#AUTHORS     D.C.Larson, J.A.Harvey, N.W.Hill
#REFERENCE   Symp.on Neutr.Cross Sect.10-50 MeV,Brookhaven 1980 p.277
#YEAR        1980
#TITLE       Measurement of neutron total cross sections at
#+           ORELA to 80 MeV
#REACTION    1-H-1(N,TOT),,SIG
#QUANTITY    Cross section
#SUBP       12882002 
#Ene,keV     Sig,b       dSig,b
 4000.3      1.9335      0.053527
 4014.2      1.9186      0.053312
 4028.1      2.012       0.054091
 4042.1      1.8928      0.051654
 4056.2      1.9089      0.050195
 4070.4      1.8272      0.048577
 4084.7      1.9745      0.049433
 4099        1.8152      0.047601
 4113.4      1.9094      0.048545
 4127.8      1.846       0.047725
 4142.4      1.9216      0.048609
 4157        1.8109      0.048018
 4171.7      1.8276      0.048742
 4186.5      1.8373      0.049943
 4201.4      1.8915      0.053162
 4216.3      1.7726      0.053915
 4231.3      1.9152      0.057898
 4246.4      1.8051      0.057489
 4261.6      1.8089      0.059764
 4276.9      1.9322      0.060439
 4292.2      1.8766      0.059542
 4307.6      1.7927      0.056664
 4323.2      1.8868      0.055102
 4338.8      1.8338      0.053984
 4354.4      1.801       0.05092
 4370.2      1.8502      0.049739
 4386.1      1.7512      0.047106
 4402        1.8809      0.047495
 4418        1.7107      0.042824
 4434.1      1.7374      0.042996
 4450.4      1.8157      0.042514
 4466.6      1.6935      0.040673
 4483        1.7908      0.040241
 4499.5      1.7635      0.039004
 4516.1      1.7637      0.037971
 4532.7      1.7234      0.03715
 4549.5      1.7183      0.03623
 4566.3      1.738       0.0355
 4583.2      1.7498      0.035175
 4600.3      1.7722      0.034768
 4617.4      1.7531      0.034027
 4634.6      1.7096      0.033725
 4651.9      1.6977      0.033109
 4669.4      1.7001      0.032202
 4686.9      1.6916      0.031721
 4704.5      1.7413      0.031351
 4722.2      1.676       0.030464
 4740        1.6918      0.030215
 4757.9      1.6712      0.029894
 4775.9      1.6648      0.029315
 4794.1      1.6905      0.029004
 4812.3      1.6725      0.028684
 4830.6      1.6623      0.028487
 4849        1.6517      0.028034
 4867.6      1.6934      0.027781
 4886.2      1.6709      0.027639
 4905        1.6658      0.027501
 4923.8      1.6658      0.027896
 4942.8      1.616       0.027345
 4961.9      1.6677      0.026866
 4981.1      1.6065      0.025766
 5000.4      1.6375      0.025849
 5019.8      1.5928      0.025328
 5039.3      1.6293      0.024982
 5059        1.6238      0.025
 5078.7      1.673       0.024825
 5098.6      1.5964      0.024348
 5118.6      1.5569      0.023687
 5138.7      1.6064      0.023965
 5159        1.594       0.023581
 5179.3      1.5964      0.023482
 5199.8      1.5554      0.023053
 5220.4      1.5915      0.02288
 5241.1      1.5619      0.022501
 5261.9      1.5631      0.022318
 5282.9      1.5723      0.022053
 5304        1.5446      0.021916
 5325.2      1.5614      0.022855
 5346.5      1.5524      0.02557
 5368        1.4926      0.028345
 5389.6      1.5286      0.027293
 5411.4      1.4988      0.024487
 5433.2      1.5365      0.023234
 5455.2      1.5087      0.022489
 5477.4      1.5313      0.02217
 5499.6      1.5225      0.021785
 5522.1      1.5454      0.021695
 5544.6      1.5451      0.021576
 5567.3      1.4971      0.021069
 5590.1      1.505       0.021047
 5613.1      1.5056      0.02099
 5636.2      1.4859      0.020688
 5659.4      1.5057      0.020665
 5682.8      1.4793      0.020413
 5706.4      1.4662      0.020136
 5730.1      1.472       0.020033
 5753.9      1.456       0.020032
 5777.9      1.4594      0.019809
 5802        1.4694      0.019734
 5826.3      1.4584      0.019768
 5850.8      1.4556      0.019649
 5875.3      1.4553      0.019609
 5900.1      1.4751      0.019657
 5925        1.4296      0.019458
 5950.1      1.4116      0.019345
 5975.3      1.4107      0.019232
 6000.7      1.439       0.019365
 6026.2      1.454       0.019574
 6052        1.395       0.019191
 6077.8      1.4115      0.019253
 6103.9      1.4015      0.01928
 6130.1      1.3938      0.019445
 6156.5      1.389       0.019625
 6183.1      1.3891      0.02008
 6209.8      1.3801      0.021233
 6236.7      1.3797      0.023907
 6263.8      1.3448      0.02911
 6291        1.3968      0.034355
 6318.5      1.412       0.029881
 6346.1      1.3484      0.024331
 6373.9      1.3731      0.020828
 6401.9      1.3698      0.018869
 6430.1      1.3431      0.017826
 6458.4      1.361       0.017433
 6486.9      1.3201      0.016884
 6515.7      1.3383      0.016369
 6544.6      1.3292      0.015328
 6573.7      1.3259      0.014401
 6603.1      1.3175      0.013941
 6632.6      1.3012      0.014088
 6662.3      1.2984      0.014314
 6692.2      1.3164      0.014362
 6722.3      1.2967      0.014239
 6752.6      1.3207      0.014037
 6783.2      1.2989      0.013906
 6813.9      1.2963      0.013731
 6844.8      1.2779      0.01352
 6876        1.2971      0.013385
 6907.4      1.2798      0.013284
 6939        1.2857      0.013085
 6970.8      1.2711      0.012995
 7002.8      1.2528      0.012872
 7035        1.2753      0.012874
 7067.5      1.255       0.01279
 7100.2      1.2333      0.012748
 7133.1      1.2435      0.012783
 7166.3      1.2472      0.012967
 7199.7      1.2321      0.013451
 7233.3      1.2277      0.014249
 7267.2      1.2313      0.015595
 7301.3      1.1938      0.017802
 7335.6      1.2417      0.020679
 7370.2      1.2083      0.022938
 7405        1.2021      0.023264
 7440.1      1.2244      0.023092
 7475.4      1.1856      0.022862
 7511        1.2039      0.022669
 7546.9      1.1912      0.02234
 7583        1.2516      0.022281
 7619.3      1.1827      0.022132
 7656        1.191       0.023339
 7692.8      1.2088      0.025825
 7730        1.1657      0.028697
 7767.4      1.1533      0.029512
 7805.1      1.1424      0.027949
 7843.1      1.145       0.026162
 7881.3      1.1145      0.02517
 7919.9      1.1919      0.024571
 7958.7      1.1597      0.023556
 7997.8      1.1304      0.023256
 8037.2      1.1003      0.023051
 8076.9      1.1487      0.023176
 8116.9      1.1147      0.021922
 8157.2      1.0981      0.019858
 8197.8      1.1083      0.018051
 8238.7      1.1115      0.016644
 8279.9      1.1303      0.015654
 8321.4      1.0884      0.014917
 8363.2      1.0805      0.014257
 8405.4      1.1242      0.01409
 8447.8      1.0746      0.013786
 8490.6      1.0878      0.013555
 8533.8      1.0658      0.013275
 8577.2      1.0732      0.01319
 8621        1.0524      0.013121
 8665.1      1.0476      0.012964
 8709.6      1.0568      0.012958
 8754.4      1.0483      0.012897
 8799.5      1.0348      0.012875
 8845.1      1.0334      0.012935
 8890.9      1.021       0.012901
 8937.1      1.0427      0.013015
 8983.7      1.0307      0.013132
 9030.7      1.0274      0.01346
 9078        1.0226      0.013811
 9125.7      1.0185      0.014183
 9173.8      1.0068      0.014303
 9222.2      0.99372     0.014504
 9271.1      1.0162      0.014549
 9320.3      1.0138      0.014317
 9370        0.9992      0.014121
 9420        1.0007      0.01382
 9470.4      0.98874     0.01364
 9521.3      1.0027      0.013436
 9572.5      0.96312     0.013303
 9624.2      0.98366     0.013344
 9676.3      0.95516     0.013248
 9728.9      0.95355     0.013266
 9781.8      0.94839     0.013094
 9835.2      0.94212     0.012817
 9889        0.94537     0.012684
 9943.3      0.94938     0.012432
 9998        0.95398     0.012328
 10053       0.92984     0.012153
 10109       0.92522     0.012046
 10165       0.90621     0.011915
 10222       0.93248     0.011772
 10279       0.9278      0.011791
 10336       0.89911     0.011822
 10394       0.91857     0.011892
 10453       0.93902     0.012142
 10512       0.88213     0.012237
 10571       0.90296     0.012488
 10631       0.88966     0.012669
 10692       0.88853     0.012971
 10753       0.88302     0.01309
 10814       0.87397     0.013266
 10877       0.89095     0.01344
 10939       0.87667     0.013453
 11002       0.88341     0.013507
 11066       0.87191     0.013447
 11131       0.87595     0.013268
 11195       0.86489     0.015199
 11261       0.84161     0.015579
 11327       0.8124      0.015412
 11394       0.831       0.015286
 11461       0.84201     0.015238
 11529       0.82976     0.014873
 11597       0.82712     0.014715
 11666       0.80359     0.014624
 11736       0.84143     0.014658
 11806       0.818       0.014721
 11877       0.8301      0.014988
 11949       0.80606     0.015421
 12021       0.80494     0.015726
 12094       0.78044     0.015782
 12167       0.79811     0.01559
 12242       0.77399     0.015055
 12316       0.7886      0.014704
 12392       0.77976     0.014441
 12468       0.77798     0.014377
 12545       0.74076     0.014296
 12623       0.75954     0.014398
 12702       0.77011     0.014484
 12781       0.7563      0.014676
 12861       0.75214     0.014828
 12942       0.7299      0.014927
 13023       0.73046     0.014879
 13105       0.71607     0.014825
 13188       0.71117     0.014771
 13272       0.71529     0.014744
 13357       0.72091     0.014672
 13443       0.72364     0.014689
 13529       0.72357     0.014483
 13616       0.71631     0.014501
 13704       0.72196     0.014321
 13793       0.72283     0.01406
 13883       0.68078     0.013815
 13973       0.6761      0.013669
 14065       0.70571     0.013741
 14157       0.67998     0.013768
 14251       0.68829     0.013739
 14345       0.67637     0.01377
 14440       0.67982     0.013837
 14536       0.65619     0.013986
 14634       0.66179     0.014221
 14732       0.65346     0.014328
 14831       0.65736     0.014456
 14931       0.66522     0.014478
 15032       0.66294     0.014452
 15135       0.64398     0.014578
 15238       0.63545     0.014702
 15342       0.63897     0.01497
 15448       0.62009     0.015254
 15554       0.63502     0.015399
 15662       0.64305     0.015569
 15771       0.58286     0.015742
 15881       0.61371     0.015815
 15992       0.61032     0.015839
 16104       0.57829     0.015686
 16217       0.58425     0.015613
 16332       0.63135     0.015368
 16448       0.60097     0.01511
 16565       0.58219     0.015017
 16684       0.59844     0.014821
 16803       0.59039     0.014669
 16924       0.58713     0.014559
 17047       0.56269     0.014523
 17171       0.54124     0.014361
 17296       0.56572     0.014336
 17422       0.55755     0.014188
 17550       0.57092     0.014173
 17679       0.56994     0.01414
 17810       0.53313     0.014191
 17942       0.54128     0.0141
 18076       0.54395     0.014231
 18211       0.52943     0.014159
 18348       0.52573     0.014262
 18486       0.53313     0.014124
 18626       0.51739     0.014152
 18768       0.50867     0.014153
 18911       0.50896     0.014183
 19055       0.48835     0.014246
 19202       0.4711      0.014324
 19350       0.48133     0.014356
 19500       0.4846      0.014391
 19652       0.49038     0.014298
 19805       0.49739     0.014127
 19961       0.47259     0.013845
 20118       0.48423     0.013718
 20277       0.48678     0.013589
 20438       0.46617     0.013346
 20601       0.47455     0.013071
 20766       0.4778      0.013028
 20933       0.46264     0.012904
 21102       0.44345     0.012787
 21273       0.45542     0.01267
 21446       0.43032     0.012634
 21621       0.43232     0.012575
 21798       0.41907     0.012443
 21978       0.42373     0.012292
 22160       0.43841     0.012264
 22344       0.42897     0.012206
 22531       0.41735     0.012249
 22720       0.42963     0.012177
 22911       0.4172      0.012233
 23105       0.41414     0.012215
 23302       0.41852     0.012273
 23500       0.4042      0.012191
 23702       0.4053      0.012204
 23906       0.40131     0.012159
 24113       0.38887     0.012138
 24322       0.40136     0.012171
 24534       0.38432     0.012134
 24749       0.382       0.01209
 24967       0.37555     0.012045
 25189       0.38369     0.012047
 25412       0.37814     0.012025
 25639       0.37032     0.012036
 25869       0.36329     0.011979
 26103       0.36105     0.011941
 26339       0.36052     0.011949
 26579       0.36183     0.011899
 26822       0.36366     0.011935
 27068       0.36265     0.012003
 27318       0.34731     0.011978
 27571       0.33493     0.011963
 27828       0.33553     0.01202
 28089       0.35284     0.012008
 28353       0.3325      0.011996
 28621       0.33541     0.012004
 28893       0.32622     0.011968
 29170       0.32008     0.012025
 29450       0.32707     0.012063
 29734       0.31702     0.012053
 30022       0.31638     0.012114
 30315       0.28867     0.012113
 30612       0.31212     0.012133
 30913       0.29858     0.012222
 31219       0.28425     0.012199
 31530       0.29089     0.012227
 31846       0.28872     0.012254
 32166       0.29671     0.01234
 32491       0.278       0.012385
 32821       0.29233     0.012393
 33157       0.28876     0.012418
 33497       0.27778     0.012518
 33843       0.26248     0.012527
 34195       0.25078     0.012571
 34552       0.25318     0.01268
 34915       0.26226     0.012654
 35283       0.25328     0.01274
 35658       0.25193     0.012804
 36039       0.25988     0.012852
 36426       0.24778     0.012899
 36819       0.25252     0.012963
 37219       0.22586     0.013059
 37626       0.23685     0.013129
 38040       0.23052     0.013214
 38460       0.22744     0.013331
 38887       0.21696     0.013387
 39322       0.21815     0.013499
 39765       0.22757     0.013596
 40215       0.20623     0.013656
 40673       0.21416     0.013761
 41139       0.20607     0.013879
 41613       0.21035     0.013958
 42096       0.18708     0.014173
 42587       0.19513     0.014311
 43087       0.19044     0.014419
 43596       0.19681     0.014521
 44115       0.19242     0.014626
 44643       0.18618     0.014752
 45181       0.16182     0.014963
 45729       0.16758     0.015247
 46287       0.21162     0.015293
 46855       0.1743      0.015377
 47434       0.18439     0.015757
 48025       0.1927      0.015842
 48627       0.17186     0.016187
 49240       0.16331     0.016278
 49866       0.14526     0.016611
#END  
